index,term,polarity,termFrom,termTo,context
1618,food,0,117,121,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.
1619,atmoshere,2,6,15,Great atmoshere and worth every bit.
1620,spicy tuna roll,2,4,19,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
1621,rock shrimp tempura,2,47,66,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
1622,appetizer,2,86,95,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
1623,staff,2,4,9,The staff was knowledgeable and full of personality.
1624,staff,2,6,11,Great staff.
1625,cost,0,43,47,"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!"
1626,meal,1,63,67,"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!"
1627,seat,0,115,119,"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!"
1628,dessert,2,64,71,"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate."
1629,dinner,2,32,38,"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate."
1630,banana tower,2,4,16,The banana tower is an amazing dessert as well.
1631,dessert,2,31,38,The banana tower is an amazing dessert as well.
1632,atmosphere,2,10,20,"Excellent atmosphere, delicious dishes good and friendly service."
1633,dishes,2,32,38,"Excellent atmosphere, delicious dishes good and friendly service."
1634,service,2,57,64,"Excellent atmosphere, delicious dishes good and friendly service."
1635,place,2,7,12,A cool place to hang with your friends for a couple of healthy drinks and desserts.
1636,vibe,2,6,10,"Great vibe, lots of people."
1637,food,2,16,20,"I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down."
1638,food,2,80,84,"I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down."
1639,service,0,4,11,"The service is a bit slow, but harkens back to my years growing up in Napoli, Italy where things are not rushed and when you sit down for dinner the table is yours all night."
1640,dinner,1,138,144,"The service is a bit slow, but harkens back to my years growing up in Napoli, Italy where things are not rushed and when you sit down for dinner the table is yours all night."
1641,table,2,149,154,"The service is a bit slow, but harkens back to my years growing up in Napoli, Italy where things are not rushed and when you sit down for dinner the table is yours all night."
1642,icing on the cake,0,20,37,But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.
1643,tiramisu,0,41,49,But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.
1644,food,2,6,10,Great food and the prices are very reasonable.
1645,prices,2,19,25,Great food and the prices are very reasonable.
1646,bar,2,7,10,"A cool bar with great food, and tons of excellent beer."
1647,food,2,22,26,"A cool bar with great food, and tons of excellent beer."
1648,beer,2,50,54,"A cool bar with great food, and tons of excellent beer."
1649,specials,2,51,59,"Be sure to try the seasonal, and always delicious, specials."
1650,ambience,2,4,12,The ambience is authentic and relaxing and we have always received attentive and prompt service.
1651,service,2,88,95,The ambience is authentic and relaxing and we have always received attentive and prompt service.
1652,french cuisine,2,18,32,"Fresh, authentic, french cuisine in substantial portions."
1653,portions,2,48,56,"Fresh, authentic, french cuisine in substantial portions."
1654,Drinks,0,0,6,"Drinks got screwed up, she acted put upon."
1655,vegetarian entree,2,8,25,The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.
1656,Abby's treasure,2,27,42,The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.
1657,wintermelon,2,101,112,The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.
1658,assortment of fresh mushrooms and vegetables,2,125,169,The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.
1659,dumplings,2,5,14,"At 5 dumplings for $1, you just cannot go wrong."
1660,pizza,0,8,13,But the pizza is way to expensive.
1661,staff,2,8,13,"And the staff is also young, energeic and hot!!!!"
1662,Steak au Poivre,2,56,71,"Even better, they know how to cook French classics like Steak au Poivre and Onglet without burning it to death or overcooking it."
1663,Onglet,2,76,82,"Even better, they know how to cook French classics like Steak au Poivre and Onglet without burning it to death or overcooking it."
1664,prices,0,80,86,"Service was decent, but not as smooth as I would expect from a place with these prices and reputation."
1665,reputation,2,91,101,"Service was decent, but not as smooth as I would expect from a place with these prices and reputation."
1666,meal,2,19,23,We had a wonderful meal at Naples 45 a month ago on a visit to NYC.
1667,drink,2,5,10,Good drink.
1668,food,2,6,10,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom."
1669,spinach and corn dumplings,2,12,38,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom."
1670,service,2,91,98,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom."
1671,bathroom,2,121,129,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom."
1672,massamman curry,2,43,58,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom."
1673,dinner,1,22,28,We had a girls' night dinner here for restaurant week.
1674,ceiling,0,119,126,"However, I was there for a work dinner not long ago when my colleague from London noticed a very large waterbug on the ceiling."
1675,dinner,1,32,38,"However, I was there for a work dinner not long ago when my colleague from London noticed a very large waterbug on the ceiling."
1676,chow fun and chow see,0,3,24,My chow fun and chow see was really bland and oily.
1677,table,2,103,108,"Even though I made the reservation at 3pm for the same night through Dinnerbroker, we were seated at a table with one of the best view!"
1678,seated,2,91,97,"Even though I made the reservation at 3pm for the same night through Dinnerbroker, we were seated at a table with one of the best view!"
1679,pita,0,61,65,"we did notice however, that some tables had what looked like pita instead of naan."
1680,naan,0,77,81,"we did notice however, that some tables had what looked like pita instead of naan."
1681,menu,1,33,37,"I didn't take a look at the rest menu, but the oysters were fantastic."
1682,oysters,2,47,54,"I didn't take a look at the rest menu, but the oysters were fantastic."
1683,grilled cheese,2,4,18,The grilled cheese at home afterwards was better.!!
1684,service,2,6,13,"Great service, great food."
1685,food,2,21,25,"Great service, great food."
1686,food,0,20,24,"sometimes i get bad food and bad service, sometimes i get good good and bad service."
1687,service,0,33,40,"sometimes i get bad food and bad service, sometimes i get good good and bad service."
1688,service,0,76,83,"sometimes i get bad food and bad service, sometimes i get good good and bad service."
1689,good,2,63,67,"sometimes i get bad food and bad service, sometimes i get good good and bad service."
1690,waitress,0,32,40,When we were finally seated our waitress came by twice-1 for our order and 2-for our check.
1691,check,1,85,90,When we were finally seated our waitress came by twice-1 for our order and 2-for our check.
1692,terrace,2,27,34,In summer-eat outside on a terrace (another great feature of Suan)!!!
1693,food,2,85,89,"It's the perfect restaurant for NY life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink bar..."
1694,bar,1,154,157,"It's the perfect restaurant for NY life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink bar..."
1695,bar,1,27,30,We did have to wait at the bar for approx.
1696,seafood,2,12,19,"If you love seafood, you would love this place!"
